Nome,Endereço,Email,Telefone,Data de Nascimento,Profissão,Empresa,Site,País
Ravi Nunes,"Fazenda de Aparecida, 73, Xodo-Marize, 11565732 Machado / AC",machadoagatha@example.com,0300 720 2724,1947-04-02,Gestor público,Montenegro,http://www.cavalcante.com/,Brasil
Maria Alice Costa,"Jardim Pires, 73, Santa Rosa, 76734-125 Carvalho / MS",catarina53@example.com,+55 41 4336 4237,1920-05-04,Gestor de qualidade,Pinto Rezende e Filhos,http://carvalho.br/,Brasil
Asafe Pimenta,"Esplanada de Campos, 86, Guaratã, 77386829 Fonseca / PE",bella46@example.org,+55 (051) 3359 7881,1975-10-29,Serventuário,Pinto,http://www.farias.com/,Brasil
Théo Albuquerque,"Condomínio Sá, 942, São Sebastião, 06704188 da Costa / AC",maria-isisvieira@example.com,41 2107 9766,1965-07-21,Peixeiro,Borges Caldeira e Filhos,http://da.com/,Brasil
Nina Rezende,"Vereda Fernandes, Confisco, 79291-862 da Paz / MS",gfarias@example.org,+55 41 2767 2298,1967-03-26,Engenheiro de produção agroindustrial,Guerra,http://barbosa.org/,Brasil
Dr. Lucas Gabriel Nogueira,"Ladeira Duarte, 87, Araguaia, 75655-034 da Costa / BA",mendesluiza@example.com,(084) 5486 6683,2019-08-22,Orientador educacional,Pereira,https://www.vieira.org/,Brasil
Henry Gabriel Nogueira,"Largo de Novaes, Grajaú, 44879-196 Leão / PB",diaslaura@example.org,31 5376 4736,1942-07-27,Jogador de vôlei,da Rosa Pinto - EI,http://www.da.br/,Brasil
Eloah Silveira,"Pátio Rebeca Brito, 629, Horto Florestal, 15817-489 Vasconcelos de Minas / RO",antonella56@example.org,71 6198 1102,2019-11-10,Policial militar,Novais S/A,https://www.da.com/,Brasil
Vitor Machado,"Favela de Dias, 8, São Francisco Das Chagas, 51355-900 Dias / RJ",maysasousa@example.org,31 4122-6113,2003-02-04,Notário,Cunha,http://www.fonseca.br/,Brasil
Bárbara Martins,"Vereda Costa, 8, Nova Pampulha, 29367-519 Moura de Marques / SP",bcorreia@example.com,+55 (081) 3354-1748,1961-11-19,Advogado,Campos,https://www.cavalcante.com/,Brasil
